nr,chimpanzee,date,session,counterbalance,trial,trial.2,condition,first.evidence,first.evidence.side,second.evidence,second.evidence.side,first.choice,third.evidence,third.evidence.side,"second,choice",belief.revision,,,,,,,,,,,,,
1,nkuumwa,23.05.2024,1,dependent_first_then_independent,1,1,dependent,auditory_shaking,left,blurry_visual,right,left,auditory_shaking,right,right,no,,,,,,,,,,,,,
1,nkuumwa,23.05.2024,1,dependent_first_then_independent,2,2,dependent,auditory_shaking,right,blurry_visual,left,left,auditory_shaking,right,right,yes,,,,,,,,,,,,,
1,nkuumwa,23.05.2024,1,dependent_first_then_independent,3,F,filler,blurry_visual,left,NA,NA,left,NA,NA,NA,NA,,,,,,,,,,,,,
1,nkuumwa,23.05.2024,1,dependent_first_then_independent,4,3,dependent,auditory_shaking,left,blurry_visual,right,right,auditory_shaking,left,right,no,,,,,,,,,,,,,
1,nkuumwa,23.05.2024,1,dependent_first_then_independent,5,4,dependent,auditory_shaking,right,blurry_visual,left,left,auditory_shaking,right,left,no,,,,,,,,,,,,,
1,nkuumwa,23.05.2024,1,dependent_first_then_independent,6,5,independent,auditory_dropping,right,blurry_visual,left,left,auditory_dropping,right,right,yes,,,,,,,,,,,,,
1,nkuumwa,23.05.2024,1,dependent_first_then_independent,7,6,independent,auditory_dropping,right,blurry_visual,left,right,auditory_dropping,left,right,no,,,,,,,,,,,,,
1,nkuumwa,23.05.2024,1,dependent_first_then_independent,8,F,filler,blurry_visual,left,NA,NA,left,NA,NA,NA,NA,,,,,,,,,,,,,
1,nkuumwa,23.05.2024,1,dependent_first_then_independent,9,7,independent,auditory_dropping,right,blurry_visual,left,right,auditory_dropping,left,right,no,,,,,,,,,,,,,
1,nkuumwa,23.05.2024,1,dependent_first_then_independent,10,8,independent,auditory_dropping,left,blurry_visual,right,right,auditory_dropping,left,left,yes,,,,,,,,,,,,,
1,nkuumwa,24.05.2024,2,independent_first_then_dependent,1,1,independent,auditory_dropping,left,blurry_visual,right,left,auditory_dropping,right,right,yes,,,,,,,,,,,,,
1,nkuumwa,24.05.2024,2,independent_first_then_dependent,2,2,independent,auditory_dropping,right,blurry_visual,left,left,auditory_dropping,right,left,no,,,,,,,,,,,,,
1,nkuumwa,24.05.2024,2,independent_first_then_dependent,3,F,filler,blurry_visual,left,NA,NA,left,NA,NA,NA,NA,,,,,,,,,,,,,
